篇,序號,中文字,中文字部首,影片網址
9,1423,閶,169,https://www.youtube.com/watch?v=abTnZWgcg0g
9,1422,呂,30,https://www.youtube.com/watch?v=RhgMzo_SPMk
9,1421,歡,76,https://www.youtube.com/watch?v=K_gJPt80Blw
9,1420,府,53,https://www.youtube.com/watch?v=WKqzbBGyxeg
9,1419,制,18,https://www.youtube.com/watch?v=grqkgZWwzUQ
8,1418,慶,61,https://www.youtube.com/watch?v=_ND_oqWldf0
8,1417,鑒,167,https://www.youtube.com/watch?v=RO5-ydw8Wnk
8,1416,喧,30,https://www.youtube.com/watch?v=TuY-ICiUK5U
8,1415,啾,30,https://www.youtube.com/watch?v=crkWKZaZcPQ
8,1414,囁,30,https://www.youtube.com/watch?v=OU3zTtQ1DvI
8,1413,呫,30,https://www.youtube.com/watch?v=tb9Q1pVEwYg
8,1412,夸,37,https://www.youtube.com/watch?v=x95zyrm1Xgg
8,1411,溫,85,https://www.youtube.com/watch?v=fqyRdgyjS4M
8,1410,仲,9,https://www.youtube.com/watch?v=3rDrPxPnYZQ
8,1409,黜,203,https://www.youtube.com/watch?v=grUjP6JSkl8
8,1408,秀,115,https://www.youtube.com/watch?v=-6sRGfGK_6I
8,1407,克,10,https://www.youtube.com/watch?v=Mfs2buxxHDI
8,1406,保,9,https://www.youtube.com/watch?v=_yAjz52IC24
8,1405,襟,145,https://www.youtube.com/watch?v=LezcfQ_0F9s
8,1404,冠,14,https://www.youtube.com/watch?v=be7n0gUrstA
8,1403,肅,129,https://www.youtube.com/watch?v=ytL6_s7SfKU
8,1402,背,130,https://www.youtube.com/watch?v=3OfT7NHwLOo
8,1401,艮,138,https://www.youtube.com/watch?v=LBM876jSGlY
8,1400,任,9,https://www.youtube.com/watch?v=Q_fOXkoShgg
8,1399,必,61,https://www.youtube.com/watch?v=fpAG2HeuTsk
8,1397,逾,162,https://www.youtube.com/watch?v=U4FWkjpjOaQ
8,1395,嗜,30,https://www.youtube.com/watch?v=7IBGlHVDH1o
8,1394,劇,18,https://www.youtube.com/watch?v=OGPbMNFc5EM
8,1393,劬,19,https://www.youtube.com/watch?v=rp13tvhdMoM
8,1392,篲,118,https://www.youtube.com/watch?v=3vsZFqramOs
8,1391,擁,64,https://www.youtube.com/watch?v=5VXcq4qLxQA
8,1390,灑,85,https://www.youtube.com/watch?v=6GmSkY_KNmo
8,1389,捧,64,https://www.youtube.com/watch?v=RiOZ-vuI1M0
8,1396,惡,61,https://www.youtube.com/watch?v=VaRJhr9T_Ek
8,1388,暄,72,https://www.youtube.com/watch?v=jeU8zKw6ksY
8,1387,鷄,196,https://www.youtube.com/watch?v=kgMjOacbPsY
8,1386,遜,162,https://www.youtube.com/watch?v=1nh342KxoAs
8,1385,棘,75,https://www.youtube.com/watch?v=IlXbfmklXN4
8,1384,榛,75,https://www.youtube.com/watch?v=TEewe_6sdjI
8,1383,趍,156,https://www.youtube.com/watch?v=dHUog4IwfKo
8,1382,捷,64,https://www.youtube.com/watch?v=axPu-64fRbM
8,1381,超,156,https://www.youtube.com/watch?v=SeVucu_-eW8
8,1380,盼,109,https://www.youtube.com/watch?v=Kjxvw-ODIbs
8,1379,凌,15,https://www.youtube.com/watch?v=oU39geSS2lI
8,1378,接,64,https://www.youtube.com/watch?v=Opz5UXCca-M
8,1377,喻,30,https://www.youtube.com/watch?v=ZRbJo-QGlhk
8,1376,卑,24,https://www.youtube.com/watch?v=OcmjDq2R4yc
8,1375,論,149,https://www.youtube.com/watch?v=3fCpkN6oc9Q
8,1374,詎,149,https://www.youtube.com/watch?v=7oT1Q_763Nc
8,1373,偷,9,https://www.youtube.com/watch?v=OFQSjIPGoWE
8,1372,逆,162,https://www.youtube.com/watch?v=p-It6LZuvZU
8,1371,但,9,https://www.youtube.com/watch?v=FkhkDjzo5mw
8,1370,屣,44,https://www.youtube.com/watch?v=uI74lwq1IL0
8,1369,我,62,https://www.youtube.com/watch?v=zkwLSbB3Zm4
8,1368,翰,124,https://www.youtube.com/watch?v=LCoB8SomBoA
8,1367,羽,124,https://www.youtube.com/watch?v=yQj7vgQyVX4
8,1366,白,106,https://www.youtube.com/watch?v=lqXDkGbd92E
8,1365,圭,32,https://www.youtube.com/watch?v=2PZ4_PQCeD8
8,1364,刀,18,https://www.youtube.com/watch?v=9ybrhxi-Ny8
8,1363,養,184,https://www.youtube.com/watch?v=uEHPpEJ6mBg
8,1362,虎,141,https://www.youtube.com/watch?v=AUX9sIUd6n8
8,1361,蟠,142,https://www.youtube.com/watch?v=wSS6tG1GVqE
8,1360,鼎,206,https://www.youtube.com/watch?v=Qtq8ifM6jO0
8,1359,秘,115,https://www.youtube.com/watch?v=qiL9ouCfGYc
8,1358,盜,108,https://www.youtube.com/watch?v=5-B3GzUxh-M
8,1357,侶,9,https://www.youtube.com/watch?v=o-UMBxjMK4g
8,1356,飄,182,https://www.youtube.com/watch?v=xeQRPHQG4Gs
8,1355,原,27,https://www.youtube.com/watch?v=4EJ3hS7-ar0
8,1354,林,75,https://www.youtube.com/watch?v=o0-h7MKxLyY
8,1353,豈,151,https://www.youtube.com/watch?v=FkT2stGRYc4
8,1352,鑿,167,https://www.youtube.com/watch?v=fPWvS1g3fkU
8,1351,私,115,https://www.youtube.com/watch?v=podk5Er3fJ0
8,1350,逞,162,https://www.youtube.com/watch?v=XjxyeZyMeqY
8,1349,誠,149,https://www.youtube.com/watch?v=iP1P9dF5KTI
